,X,Y,SPECIES.NAME,training,sp1,sp2,sp3,sp4,sp5,prediction
107451,4939500,4393500,b'Betula pubescens',False,-1.288109302520752,0.36486682295799255,0.5492509603500366,0.7351484894752502,-1.328033208847046,b'Pinus sylvestris'
147957,3092500,3514500,b'Betula pubescens',True,-0.019505631178617477,0.23496457934379578,-1.2166935205459595,0.49505650997161865,0.25962552428245544,b'Pinus sylvestris'
5590,5079500,4653500,b'Betula pubescens',True,-3.743102550506592,0.7664990425109863,2.781548023223877,1.2463122606277466,-3.8298282623291016,b'Betula pubescens'
56608,5059500,4683500,b'Betula pubescens',False,-1.6601568460464478,0.8455439209938049,1.0792354345321655,0.7026784420013428,-2.3178226947784424,b'Betula pubescens'
26667,5147500,4423500,b'Betula pubescens',True,-6.7738518714904785,1.7032206058502197,5.018512725830078,2.6756670475006104,-7.555977821350098,b'Betula pubescens'
113354,4221500,4086500,b'Betula pubescens',True,-0.17958545684814453,0.19153696298599243,-0.38791680335998535,0.037413403391838074,0.07483486086130142,b'Picea abies'
85484,4598500,5071500,b'Betula pubescens',True,-2.7790870666503906,0.5618966817855835,1.8540668487548828,0.8231979608535767,-2.456709146499634,b'Betula pubescens'
108197,5015500,4463500,b'Betula pubescens',True,-5.1684064865112305,1.2124103307724,5.3117523193359375,3.58896803855896,-9.364457130432129,b'Betula pubescens'
81462,4683000,4648500,b'Betula pubescens',True,-2.7794814109802246,0.5002506971359253,1.940833568572998,0.845553994178772,-2.513850212097168,b'Betula pubescens'
79264,5211500,4842500,b'Betula pubescens',True,-3.0484848022460938,0.6096816658973694,2.1139941215515137,0.9233710765838623,-2.8177266120910645,b'Betula pubescens'
27203,5140500,4799500,b'Betula pubescens',True,-2.309950828552246,0.5163694620132446,1.6559758186340332,0.6475476026535034,-2.246704339981079,b'Betula pubescens'
194324,2924500,2378500,b'Betula pubescens',True,0.9255545735359192,-0.3154849410057068,-1.6126803159713745,-0.9196444749832153,0.9960159063339233,b'Quercus robur'
54458,4423500,4080500,b'Betula pubescens',True,-0.9425992369651794,0.4088650941848755,-0.08528211712837219,0.9421181678771973,-1.0704153776168823,b'Pinus sylvestris'
124982,5244500,4468500,b'Betula pubescens',True,-1.3048903942108154,1.2364157438278198,0.967139720916748,0.25799480080604553,-2.569409132003784,b'Picea abies'
37576,5016500,4909500,b'Betula pubescens',False,-2.9306955337524414,0.5479773879051208,1.955580234527588,0.892136812210083,-2.551875591278076,b'Betula pubescens'
21013,4307500,4213500,b'Betula pubescens',True,-3.2860140800476074,0.5626054406166077,2.4335408210754395,1.146079421043396,-3.2351245880126953,b'Betula pubescens'
185850,4536500,4871500,b'Betula pubescens',True,-2.8486335277557373,0.49803435802459717,1.885237216949463,0.9548382759094238,-2.47057843208313,b'Betula pubescens'
2686,4132500,2921500,b'Betula pubescens',False,0.014985278248786926,0.14117032289505005,-1.3330607414245605,0.4078652262687683,0.47758764028549194,b'Quercus robur'
127275,5254500,4510500,b'Betula pubescens',True,-3.58423113822937,0.7637028098106384,2.953977584838867,0.9804372787475586,-4.235666275024414,b'Betula pubescens'
21614,5082500,4668500,b'Betula pubescens',True,-6.561432361602783,2.943439245223999,6.168894290924072,1.995608925819397,-10.558575630187988,b'Betula pubescens'
87207,4543500,4907500,b'Betula pubescens',True,-2.988729476928711,0.5933546423912048,2.043670892715454,0.894646167755127,-2.6962649822235107,b'Betula pubescens'
47355,5329000,4588500,b'Betula pubescens',True,-1.8329286575317383,0.3968062400817871,1.1560311317443848,0.6267544031143188,-1.6291009187698364,b'Betula pubescens'
41629,5339500,4515500,b'Betula pubescens',False,-2.194720983505249,0.33828961849212646,1.4814081192016602,0.7417699098587036,-1.9090811014175415,b'Betula pubescens'
59040,5211500,4843500,b'Betula pubescens',True,-2.7631421089172363,0.5703855156898499,1.8411452770233154,0.8055345416069031,-2.45802640914917,b'Betula pubescens'
